id,name,ep,len,score
gintama-s6-p2, Gintama.: Shirogane no Tamashii-hen - Kouhan-sen, 14, 24, 7
baki-s2, Baki 2nd Season, 13, 24, 7
fire-force-s1, Enen no Shouboutai, 24, 23, 7
isekai-quartet-s1, Isekai Quartet, 12, 12, 6
isekai-quartet-s2, Isekai Quartet 2, 12, 12, 6
no-game-no-life, No Game No Life, 12, 23, 6
a-certain-scientific-accelerator, oaru Kagaku no Accelerator, 12, 23, 6
hero-mask-s1, Hero Mask, 15, 24, 6
black-butler-book-of-circus, Kuroshitsuji: Book of Circus, 10, 24, 6
psycho-pass-s3, Psycho-Pass 3, 8, 45, 6
isekai-smartphone, Isekai wa Smartphone to Tomo ni., 12, 24, 6
kore-wa-zombie-s1, Kore wa Zombie Desu ka?, 12, 24, 6
black-lagoon-s1, Black Lagoon, 12, 24, 6
babylon, Babylon, 12, 24, 6
hellsing-ultimate, Hellsing Ultimate, 10, 50, 6
hellsing, Hellsing, 13, 23, 6
mushishi-s1, Mushishi Zoku Shou, 10, 24, 6
tokyo-ghoul-s2, Tokyo Ghoul √A, 12, 24, 6
double-decker-doug-kirill, Double Decker! Doug & Kirill, 13, 24, 6
pet, Pet, 13, 23, 6
baki-s1, Baki, 26, 24, 6
afro-samurai, Afro Samurai, 5, 27, 6
cowboy-bebop,Cowboy Bebop, 26, 24, 6
blue-exorcist, Ao no Exorcist, 25, 24, 6
noragami, Noragami, 12, 24, 6
gabriel-dropout, Gabriel DropOut, 12, 23, 6
samurai-champloo, Samurai Champloo, 26, 24, 6
okaa-san-online, Tsuujou Kougeki ga Zentai Kougeki de Ni-kai Kougeki no Okaasan wa Suki Desu ka?, 12, 23, 5
one-punch-man-s2, One Punch Man 2nd Season, 12, 23, 5
91-days, 91 Days, 12, 24, 5
my-hero-academia-training-of-the-dead, Boku no Hero Academia: Training of the Dead, 1, 25, 5
hero-mask-s2, Hero Mask (2019), 9, 24, 5
berserk, Berserk, 12, 24, 5
isekai-cheat-magician, Isekai Cheat Magician, 12, 23, 5
iruma-s1, Mairimashita! Iruma-kun, 23, 23, 5
kono-suba-s2-ova, Kono Subarashii Sekai ni Shukufuku wo! 2: Kono Subarashii Geijutsu ni Shukufuku wo!, 1, 28, 4
tokyo-ghoul-s4, Tokyo Ghoul:re 2nd Season, 12, 24, 4
nanbaka-s2, Nanbaka 2, 12, 23, 4
how-not-to-summon-a-demon-lord, Isekai Maou to Shoukan Shoujo no Dorei Majutsu, 12, 23, 4
izetta, Shuumatsu no Izetta, 12, 25, 4
kaga-sama-love-is-war-s1, Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen, 12, 25, 4
isekai-death-march-s1, Death March kara Hajimaru Isekai Kyousoukyoku, 12, 23, 4
bastard, Bastard!!: Ankoku no Hakaishin, 6, 26, 3
punch-line, Punch Line, 12, 23, 3
radiant-s1, Radiant, 21, 24, 2
hellsing-dawn, Hellsing: The Dawn, 3, 10, 2
granblue-fantasy-the-animation-s1, Granblue Fantasy The Animation, 13, 23, 1
